District,Month,Visitors,Year,Season
KommramBheentAsifabad,2,466,2021.0,Winter
KommramBheentAsifabad,3,491,2021.0,Summer
KommramBheentAsifabad,4,349,2021.0,Summer
KommramBheentAsifabad,5,88,2021.0,Summer
KommramBheentAsifabad,6,128,2021.0,Monsoon
KommramBheentAsifabad,7,154,2021.0,Monsoon
KommramBheentAsifabad,8,175,2021.0,Monsoon
KommramBheentAsifabad,9,176,2021.0,Monsoon
KommramBheentAsifabad,10,21030,2021.0,Autumn
KommramBheentAsifabad,11,371,2021.0,Autumn
KommramBheentAsifabad,12,587,2021.0,Winter
Mahabubabad,1,3060,2021.0,Winter
Mahabubabad,2,3155,2021.0,Winter
Mahabubabad,3,3320,2021.0,Summer
Mahabubabad,4,3240,2021.0,Summer
Mahabubabad,5,940,2021.0,Summer
Mahabubabad,6,880,2021.0,Monsoon
Mahabubabad,7,1970,2021.0,Monsoon
Mahabubabad,8,3480,2021.0,Monsoon
Mahabubabad,9,3420,2021.0,Monsoon
Mahabubabad,10,3505,2021.0,Autumn
Mahabubabad,11,3470,2021.0,Autumn
Mahabubabad,12,3480,2021.0,Winter
Mahbubnagar,1,112443,2021.0,Winter
Mahbubnagar,2,653029,2021.0,Winter
Mahbubnagar,3,375235,2021.0,Summer
Mahbubnagar,4,270751,2021.0,Summer
Mahbubnagar,5,5264,2021.0,Summer
Mahbubnagar,6,32923,2021.0,Monsoon
Mahbubnagar,7,300593,2021.0,Monsoon
Mahbubnagar,8,299804,2021.0,Monsoon
Mahbubnagar,9,250520,2021.0,Monsoon
Mahbubnagar,10,208937,2021.0,Autumn
Mahbubnagar,11,675277,2021.0,Autumn
Mahbubnagar,12,205813,2021.0,Winter
Mancherial,1,14998,2021.0,Winter
Mancherial,2,12438,2021.0,Winter
Mancherial,3,7304,2021.0,Summer
Mancherial,4,6000,2021.0,Summer
Mancherial,5,1466,2021.0,Summer
Mancherial,6,1503,2021.0,Monsoon
Mancherial,7,4134,2021.0,Monsoon
Mancherial,8,7294,2021.0,Monsoon
Mancherial,9,5668,2021.0,Monsoon
Mancherial,10,5130,2021.0,Autumn
Mancherial,11,5988,2021.0,Autumn
Mancherial,12,9372,2021.0,Winter
Medak,1,48000,2021.0,Winter
Medak,2,44000,2021.0,Winter
Medak,3,49000,2021.0,Summer
Medak,4,39000,2021.0,Summer
Medak,5,4000,2021.0,Summer
Medak,6,15000,2021.0,Monsoon
Medak,7,16000,2021.0,Monsoon
Medak,8,33500,2021.0,Monsoon
Medak,9,15500,2021.0,Monsoon
Medak,10,17500,2021.0,Autumn
Medak,11,20000,2021.0,Autumn
Medak,12,16350,2021.0,Winter
Mulugu,1,61800,2021.0,Winter
Mulugu,2,62400,2021.0,Winter
Mulugu,3,65550,2021.0,Summer
Mulugu,4,65650,2021.0,Summer
Mulugu,5,19850,2021.0,Summer
Mulugu,6,19850,2021.0,Monsoon
Mulugu,7,36800,2021.0,Monsoon
Mulugu,8,44050,2021.0,Monsoon
Mulugu,9,47055,2021.0,Monsoon
Mulugu,10,41000,2021.0,Autumn
Mulugu,11,51060,2021.0,Autumn
Mulugu,12,45550,2021.0,Winter
Nagarkurnool,1,88188,2021.0,Winter
Nagarkurnool,2,84801,2021.0,Winter
Nagarkurnool,3,82629,2021.0,Summer
Nagarkurnool,4,85938,2021.0,Summer
Nagarkurnool,5,900,2021.0,Summer
Nagarkurnool,6,31800,2021.0,Monsoon
Nagarkurnool,7,114690,2021.0,Monsoon
Nagarkurnool,8,123210,2021.0,Monsoon
Nagarkurnool,9,104510,2021.0,Monsoon
Nagarkurnool,10,91559,2021.0,Autumn
Nagarkurnool,11,117740,2021.0,Autumn
Nagarkurnool,12,111530,2021.0,Winter
Nalgonda & Suryapet,1,9097,2021.0,Winter
Nalgonda & Suryapet,2,6126,2021.0,Winter
Nalgonda & Suryapet,3,5729,2021.0,Summer
Nalgonda & Suryapet,4,1033,2021.0,Summer
Nalgonda & Suryapet,5,148,2021.0,Summer
Nalgonda & Suryapet,6,1044,2021.0,Monsoon
Nalgonda & Suryapet,7,6744,2021.0,Monsoon
Nalgonda & Suryapet,8,7852,2021.0,Monsoon
Nalgonda & Suryapet,9,21650,2021.0,Monsoon
Nalgonda & Suryapet,10,14431,2021.0,Autumn
Nalgonda & Suryapet,11,7684,2021.0,Autumn
Nalgonda & Suryapet,12,12528,2021.0,Winter
Narayanapet,1,45720,2021.0,Winter
Narayanapet,2,34377,2021.0,Winter
Narayanapet,3,34327,2021.0,Summer
Narayanapet,4,24289,2021.0,Summer
Narayanapet,5,328,2021.0,Summer
Narayanapet,6,6010,2021.0,Monsoon
Narayanapet,7,26950,2021.0,Monsoon
Narayanapet,8,24200,2021.0,Monsoon
Narayanapet,9,19500,2021.0,Monsoon
Narayanapet,10,23700,2021.0,Autumn
Narayanapet,11,27400,2021.0,Autumn
